Label,Teks
Busuk Tongkol,"Penyakit busuk tongkol adalah penyakit yang bisa menyerang tongkol jagung atau biji jagung, yang disebabkan oleh infeksi jamur. Penyakit ini bisa menurunkan kualitas hasil panen karena menyebabkan kerusakan biji dan berpotensi menghasilkan mikotoksin yang dapat membahayakan manusia dan juga hewan."
Karat Buah,"Penyakit karat pada jagung disebabkan oleh infeksi jamur, biasanya dari genus Puccinia, seperti Puccinia polysora (karat tropis) dan Puccinia sorghi (karat..."
Busuk Tongkol,"Penyakit jagung adalah berbagai kondisi yang menyerang tanaman jagung, disebabkan oleh patogen seperti jamur, bakteri, virus, atau nematoda. Penyakit ini dapat mengurangi hasil panen dan kualitas jagung."
Busuk Tongkol,"Jagung (Zea mays L.) adalah tanaman pangan penting dari keluarga rumput-rumputan (Poaceae), berasal dari Amerika Tengah, khususnya Meksiko, dan kini dibudidayakan di seluruh dunia sebagai sumber makanan, pakan ternak, dan bahan baku industri."
Busuk Tongkol,"Busuk tongkol adalah penyakit yang menyerang tongkol atau biji jagung, disebabkan oleh infeksi jamur, yang dapat menurunkan kualitas panen dan menghasilkan mikotoksin berbahaya bagi manusia dan hewan."
Busuk Tongkol,"Gejala awal termasuk perubahan warna biji menjadi keputihan, kuning, merah muda, atau hijau dengan lapisan jamur halus yang berwarna putih, merah muda, atau kehijauan."
Busuk Tongkol,"Jamur menyebar luas, biji menjadi lembek, berlendir, dan basah. Gejala sekunder termasuk daun menguning dan batang layu. Disarankan memotong bagian yang parah, menggunakan fungisida, dan memeriksa serta mengendalikan hama seperti ulat tongkol."
Busuk Tongkol,"Seluruh tongkol membusuk, berbau busuk, dan tidak layak konsumsi. Patogen seperti Aspergillus menghasilkan aflatoksin yang sangat berbahaya. Tanaman harus dicabut dan dimusnahkan, dilakukan rotasi tanaman, dan digunakan benih tahan penyakit."
Busuk Tongkol,Penyakit karat pada jagung disebabkan oleh jamur Puccinia seperti P. sorghi atau P. polysora.
Karat Buah,"Pustula kecil berwarna cokelat atau oranye muncul di daun, yang dapat meluas hingga menyebabkan daun mengering. Dampaknya mencakup buah jagung kecil atau tidak terisi penuh akibat gangguan fotosintesis."
Karat Buah,"Pada infeksi berat, tongkol menjadi kecil, biji tidak berkembang optimal, atau tongkol menjadi keriput dengan aroma busuk."
Karat Buah,Tanaman yang terinfeksi dipangkas dan sisa-sisanya dibakar atau dikubur jauh dari lahan untuk mencegah penyebaran spora. Alat pemotong harus dibersihkan setelah digunakan untuk menghindari kontaminasi lebih lanjut.
Busuk Tongkol,"Mengonsumsi jagung busuk dapat menyebabkan keracunan mikotoksin, seperti aflatoksin yang merusak hati, fumonisin yang memengaruhi saraf dan perkembangan janin, serta ochratoksin yang merusak ginjal dan meningkatkan risiko kanker."
Busuk Tongkol,"Gunakan varietas tahan penyakit, rotasi tanaman, benih bersertifikat, dan jadwal tanam yang sesuai. Pastikan kelembapan tidak tinggi, drainase baik, dan lingkungan bersih dari sisa tanaman."
Busuk Tongkol,"Penyebaran jamur semakin luas, biji yang terinfeksi menyebar ke bagian tongkol lainnya. Tongkol mulai lembek, berlendir, basah, dan gejala sekunder muncul seperti daun menguning dan batang layu. Diperlukan pemangkasan bagian yang parah, penggunaan fungisida, dan pengendalian hama (misalnya ulat tongkol) menggunakan insektisida."
Busuk Tongkol,"Seluruh tongkol membusuk, berbau busuk, dan tidak layak dipanen. Patogen seperti Aspergillus menghasilkan aflatoksin yang berbahaya bagi manusia dan hewan. Tanaman harus segera dicabut dan dimusnahkan, dilakukan rotasi tanaman dengan jenis yang tidak rentan terhadap patogen busuk tongkol (misalnya kacang-kacangan). Benih tahan penyakit dan pengaturan jadwal tanam juga penting."
